Year,Entity,Number of people affected from drought,Number of people left homeless from drought,Reconstruction costs from drought,Insured damages against drought,Total economic damages from drought,Number of people left homeless from earthquakes,Number of total people affected by earthquakes,Reconstruction costs from earthquakes,Insured damages against earthquakes,Total economic damages from earthquakes,Number of people affected by volcanic activity,Number of people left homeless from volcanic activity,Number of total people affected by volcanic activity,Reconstruction costs from volcanic activity,Insured damages against volcanic activity,Total economic damages from volcanic activity,Number of people left homeless from floods,Number of total people affected by floods,Reconstruction costs from floods,Insured damages against floods,Total economic damages from floods,"Number of people affected by mass movements per 100,000",Number of people left homeless from storms,Number of total people affected by storms,Reconstruction costs from storms,Insured damages against storms,Total economic damages from storms,Number of people left homeless from landslides,Number of total people affected by landslides,Reconstruction costs from landslides,Insured damages against landslides,Total economic damages from landslides,Number of people left homeless from wildfires,Number of total people affected by wildfires,Reconstruction costs from wildfires,Insured damages against wildfires,Total economic damages from wildfires,Total economic damages from disasters as a share of GDP,Total economic damages from drought as a share of GDP,Total economic damages from earthquakes as a share of GDP,Total economic damages from extreme temperatures as a share of GDP,Total economic damages from floods as a share of GDP,Total economic damages from landslides as a share of GDP,Total economic damages from storms as a share of GDP,Total economic damages from volcanic activity as a share of GDP
1940,Dominica,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Dominica,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,4465,0,0,0,0,0,0,0,0,0,0,8.115561393,0,0,0,0,0,8.115561393,0
1980,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,0,2200,0,0,0,0,0,0,0,0,0,0,1.263501884,0,0,0,0,0,1.263501884,0
1990,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.5,571.6,6500,0,19500,0,0,0,0,0,0,0,0,0,0,7.103250092,0,0,0,0,0,7.103250092,0
2000,Dominica,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0.474637649,0,0,0,0,0,0.474637649,0
2010,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,10022.7,0,1930,193881,0,0,0,0,0,0,0,0,0,0,36.93751692,0,0,0,0,0,36.93751692,0
1930,Dominican Republic,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,1200,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Dominican Republic,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Dominican Republic,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Dominican Republic,24000,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,1294.2,0,0,6600,0,0,0,0,0,0,0,0,0,100,0.755918635,0.046334909,0,0,0,0,0.698323733,0
1970,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,35000,155400,0,0,15000,0,0,0,0,0,0,0,0,0,0,0.27278679,0,0,0,0,0,0.27278679,0
1980,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134204.5,0,0,0,0,0,200,0,0,7070,0,0,0,0,0,0,0,0,0,0,0.11018608,0,0,0,0,0,0.11018608,0
1990,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2100,0,0,0,0,12250,100342.5,0,40000,198150,0,0,0,0,0,0,0,0,0,0,0.914303622,0,0,0,0,0,0.914303622,0
2000,Dominican Republic,0,0,0,0,0,0,201.5,0,0,0,0,0,0,0,0,0,209.2,11306,0,0,9762.3,0,0,18519.4,0,3000,45971,0,0,0,0,0,0,0,0,0,0,0.201997092,0,0,0,0.031936593,0,0.1700605,0
2010,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,288186,0,0,10.2,0,1013.6,15128.3,0,0,12300,0,0,0,0,0,0,0,0,0,0,0.018005077,0,0,0,0.0000163,0,0.017988804,0
1920,Ecuador,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Ecuador,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Ecuador,0,0,,,,0,10000,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Ecuador,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Ecuador,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7050,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017148702,0,0,0,0.017148702,0,0,0
1970,Ecuador,0,0,0,0,0,4799.2,10811.2,0,0,2800,2000,500,2500,0,0,0,3000,18300,0,0,57,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.042368962,0,0.040370831,0,0.001998131,0,0,0
1980,Ecuador,0,0,0,0,0,15000,15004.6,0,0,150000,0,0,0,0,0,0,0,94000,0,0,24710,0,0,0,0,0,0,0,600,0,0,0,0,80,0,0,0,1.202877993,0,1.075621044,0,0.127256949,0,0,0
1990,Ecuador,3400,0,0,0,0,1687.5,4014.5,0,0,700,2200,220,2420,0,0,0,8200.9,25400.7,0,250,29100,0,0,0,0,0,0,0,7506.5,0,1500,50000,0,0,0,0,0,0.374066325,0,0.002774872,0,0.107282022,0.264009431,0,0
2000,Ecuador,10750,0,0,0,170,0,0,0,0,0,49767,0,49768.3,0,0,16097.5,1714.9,43069.9,0,0,101880,0,0,0,0,0,0,18,38.5,0,0,0,0,0,0,0,0,0.204920053,0.000271914,0,0,0.168112865,0,0,0.036535273
2010,Ecuador,316.5,0,0,0,0,1.5,38979.3,334400,56000,200000,93254.2,0,93254.2,0,0,0,50,14610.7,0,0,1000,0,0,0,0,0,0,0,29.5,0,0,0,0,194.5,0,0,0,0.201125309,0,0.200124686,0,0.001000623,0,0,0
1920,Egypt,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Egypt,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Egypt,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Egypt,0,0,,,,0,2.8,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Egypt,0,0,0,0,0,53.5,55.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,0,0,1400,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007768899,0,0,0,0.007768899,0,0,0
1980,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Egypt,0,0,0,0,0,2502,9271.8,0,0,120000,0,0,0,0,0,0,5320,16412.8,0,0,14100,0.050099364,0,6,0,0,100,0,0,0,0,0,0,0,0,0,0,0.313928323,0,0.28669734,0,0.027103492,0,0.000127492,0
2000,Egypt,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,3274.7,0,0,12500,0,0,0,0,0,0,0,0,0,0,0.003788138,0,0,0,0,0,0.003788138,0
1930,El Salvador,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,El Salvador,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,El Salvador,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,El Salvador,0,0,0,0,0,4800,13972,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,160,0,0,0,0,0,0,0,0,0,0,0.414007232,0,0.398760425,0,0,0,0.015246808,0
1970,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,El Salvador,0,0,0,0,0,25250,80250,0,22500,150500,0,0,0,0,0,0,0,10706,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.815460569,0,3.991734699,0,0.82372587,0,0,0
1990,El Salvador,0,0,0,0,17100,0,0,0,0,0,0,0,0,0,0,0,0,1495,0,0,150,0,200,8600,0,0,38811,0,0,0,0,0,0,0,0,0,0,0.512943498,0.156742556,0,0,0.001329293,0,0.354871649,0
2000,El Salvador,40000,0,0,0,4940,0,160777.1,0,29000,184850,200,0,200,0,0,0,0,733.2,0,0,0,0,1500,16554.1,0,0,129470,0,0,0,0,0,0,0,0,0,0,2.314038745,0.033576777,1.504982653,0,0,0,0.775479315,0
2010,El Salvador,108661,0,0,0,13700,0,265.9,0,0,0,6307.9,0,6307.9,0,0,0,0,30709.9,0,0,100000,0,285,3260.4,0,0,2000,0,0,0,0,0,0,0,0,0,0,0.562325805,0.058479962,0,0,0.493004512,0,0.010841331,0
1990,Eritrea,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565.9,1567.5,0,0,516.5,0,0,0,0,0,0,0,0,0,0,0.110393272,0,0,0,0,0,0.110393272,0
2000,Eritrea,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2600,13000,0,0,0,0,0,0,0,0,0,0,0.092209528,0,0,0,0,0,0.092209528,0
2010,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63250,0,0,5415.2,0,0,0,0,0,0,0,0,0,0,1.095139761,0,0,0,0,0,1.095139761,0
1990,Eswatini,25000,0,0,0,173.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015600567,0.015600567,0,0,0,0,0,0
2000,Eswatini,138000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27450,0,0,5,0,26,768.5,0,0,0,0,0,0,0,0,0,150,0,0,0,0.00028767,0,0,0,0.00028767,0,0,0
2010,Eswatini,72400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,Ethiopia,320000,0,0,0,100,42,58.5,0,0,32,0,0,0,0,0,0,600,1600,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Ethiopia,300000,0,0,0,7600,0,0,0,0,0,0,0,0,0,0,0,2000,8700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Ethiopia,2125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Ethiopia,588620,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,15480,84896.6,0,0,670,0,0,0,0,0,0,1.9,2.9,0,0,0,0,0,0,0,0,0.029163894,0.019953378,0,0,0.009210515,0,0,0
2000,Ethiopia,2780000,0,0,0,0,0,0,0,0,0,1100,0,1100,0,0,0,81,122189,0,0,940,0,0,0,0,0,0,16.5,16.5,0,0,0,0,0.5,0,0,0,0.007093663,0,0,0,0.007093663,0,0,0
2010,Ethiopia,1600567.9,0,0,0,140000,0,0,0,0,0,0,0,0,0,0,0,100,107608,0,0,220,0,0,0,0,0,0,0,2.1,0,0,3.6,0,0,0,0,0,0.21722004,0.216754051,0,0,0.000461717,0.00000427,0,0
1900,Europe,0,0,,,,2010,17372,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,Europe,0,0,,,,66.9,66.9,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Europe,0,0,,,,0,0,,,,0,0,0,,,,0,600,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Europe,0,0,,,,1231.8,3568.9,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Europe,0,0,,,,3622,4650.5,,,,0,1400,1400,,,,0,0,,,,0,0,12,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Europe,0,0,,,,14274.2,17082.9,,,,0,0,0,,,,17750,47785,,,,0,0,0,,,,546.6,584.6,,,,0,0,,,,,,,,,,,
1960,Europe,0,0,0,0,0,12502,49517.4,0,0,141020,0,0,0,0,0,0,134300,163910,0,0,249260,0,0,390,0,0,2260,0,2.2,0,0,0,0,0,0,0,0,0.092714133,0,0.036726272,0,0.055538624,0,0.000449237,0
1970,Europe,0,0,0,0,0,32700,155789.5,0,0,664160,520,0,522.4,0,0,2470,1165,262787.5,0,0,177340,0,0,521.9,0,0,53920,0,13.5,0,0,1100,0,0,0,0,0,0.053311008,0,0.0327151,0.001055631,0.015365077,0.0000495,0.003954254,0.000171447
1980,Europe,320000,0,0,0,515500,1330,61069.5,0,0,2175050,0,0,0,0,0,0,782.4,76805.9,0,3470,835730,0,0,6171.2,0,153430,678370,0,1223.5,0,0,132500,0,271.8,0,0,29500,0.107381691,0.011743969,0.055442846,0,0.021715835,0.003195106,0.014378935,0
1990,Europe,601000,0,0,0,1170860,6209.8,21973.4,0,2800,1043294.4,700,0,700,0,0,1650,28715.2,435419.3,0,262050,2604051.9,0,3374,490152.9,260000,2345910,4408554.5,65.9,1671,0,20000,82248.9,158.9,12228.2,0,0,268544.4,0.101763279,0.012755401,0.010198762,0.001656212,0.027121887,0.000792692,0.046312936,0.0000152
2000,Europe,127296.9,0,0,0,319770.9,9311.9,12256.9,0,29900,494987.2,0,0,0,0,0,310,4768.8,335443.3,79500,1408650,5434732.4,0,387.7,324530.7,0,1481100,3169640,0,285.1,0,19500,51000,560,116278.8,0,12800,803836.7,0.085288342,0.002316731,0.003218682,0.010463164,0.04478366,0.000506042,0.019017416,0.00000313
2010,Europe,580,0,0,0,772000,3047,38912.1,0,278900,2293326,30,0,32.8,0,0,11500,1047.6,339328.9,144075.1,1070686.6,4811054.3,0.002680951,4.6,72796.2,0,1027713.4,2070028.6,0,15.1,0,0,0,461.4,3745.2,56500,30900,303382,0.049437322,0.003733488,0.011085075,0.000263676,0.02280922,0,0.009982376,0.0000522
1930,Fiji,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Fiji,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Fiji,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,80,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1800,0,0,110,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078553058,0,0,0,0.078553058,0,0,0
1970,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,18505,0,0,2350,0,0,0,0,0,0,0,0,0,0,0.725176723,0,0,0,0,0,0.725176723,0
1980,Fiji,3100,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,21500,0,0,1540,0,700,37946.5,0,6840,17410.7,0,0,0,0,0,0,0,0,0,0,1.891267533,0.267116068,0,0,0.119358692,0,1.504792773,0
1990,Fiji,26345.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477.2,17327.5,0,0,14210,0,0,0,0,0,0,0,0,0,0,0.843702244,0,0,0,0,0,0.843702244,0
2000,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,0,0,8074.7,0,0,3908.2,0,0,7795.2,0,0,0,0,0,0,0,0,0,0,0.540392239,0,0,0,0.261801016,0,0.278591223,0
2010,Fiji,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954.5,0,0,8900,0,0,78003.9,0,5000,70782.7,0,0,0,0,0,0,0,0,0,0,1.695247257,0,0,0,0.22406777,0,1.471179487,0
1990,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0.000707024,0,0,0,0,0,0.000707024,0
2000,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,France,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,France,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,France,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,France,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,France,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,France,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,France,0,0,0,0,0,102,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0.001681054,0,0,0,0,0,0.001681054,0
1970,France,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,France,0,0,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,432.5,0,0,110950,0,0,0,0,0,205000,0,2,0,0,0,0,214.8,0,0,0,0.055582596,0.015606559,0,0,0.015793969,0,0.024182068,0
1990,France,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,20,589.5,0,73200,120600,0,0,350944.1,245000,709250,1571001,6,28.1,0,0,1079,0.6,126.5,0,0,0,0.122688516,0.0000688,0,0.006082188,0.008640249,0.0000723,0.107824962,0
2000,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5367.4,0,140800,282235,0,80,515.8,0,228000,353105,0,0,0,0,0,0,300.4,0,0,1000,0.054144418,0,0,0.023906807,0.017075214,0,0.013116863,0
2010,France,0,0,0,0,0,0,75.4,0,0,0,0,0,0,0,0,0,0,1381.2,0,366900,649400,0,0,50225.6,0,258600,512700,0,0,0,0,0,0,1201.2,0,0,0,0.04440229,0,0,0,0.02512499,0,0.0192773,0
1990,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,French Polynesia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,3700,0,0,0,0,0,0,0,0,0,0,0.276967816,0,0,0,0,0,0.276967816,0
1990,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,500.4,0,0,200,0,0,341.1,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7784.5,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,Gambia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Gambia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Gambia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Gambia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Gambia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Gambia,33000,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165753646,0.165753646,0,0,0,0,0,0
1970,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0
1980,Gambia,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1520.8,0,0,0,0,0,1680.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Gambia,49110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6226.1,0,0,0,0,0,1510.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Georgia,0,0,0,0,0,135,375,0,0,0,0,0,0,0,0,0,20,80,0,0,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092200127,0,0,0,0.092200127,0,0,0
2000,Georgia,69600,0,0,0,20000,108.6,2646.2,0,0,35000,0,0,0,0,0,0,9,319,0,0,215.6,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68904781,0.654134467,1.030706813,0,0.00420653,0,0,0
2010,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15531.9,0,0,2600,0,600,776.8,0,0,9100,0,0,0,0,0,0,0,0,0,0,0.072390317,0,0,0,0.017200012,0,0.055190305,0
1990,Germany,0,0,0,0,0,0,152.5,0,0,5000,0,0,0,0,0,0,0,20520,0,29000,181360,0,0,3001.5,0,400830,833030,0,0,0,0,623,0,0,0,0,0,0.051175495,0,0.000234569,0,0.008409644,0.0000284,0.042502889,0
2000,Germany,0,0,0,0,0,0,15,0,800,1200,0,0,0,0,0,0,0,33155.8,0,185000,1184000,0,0,45.1,0,612000,1130000,0,0,0,0,0,0,0,0,0,0,0.102143393,0,0.0000427,0.007664418,0.056907962,0,0.037528297,0
2010,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,263000,1490000,0,0,3.9,0,514000,768747.5,0,0,0,0,0,0,0,0,0,0,0.061092932,0,0,0,0.040326908,0,0.020766023,0
1930,Ghana,0,0,,,,750,763,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Ghana,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Ghana,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,7470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448134528,0,0,0,0.448134528,0,0,0
1970,Ghana,1200,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000413718,0.000413718,0,0,0,0,0,0
1980,Ghana,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0
