YEAR,MONTH,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
1934,7.0,8.0,-82.5,COSTA RICA-PANAMA,PANAMA,Probable Tsunami,7.7,60.0,1.5,Limited (<$1 million),
1934,2.0,17.5,119.0,SOUTH CHINA SEA,PHILIPPINES,Definite Tsunami,7.9,55.0,0.5,Limited (<$1 million),
1932,6.0,19.081,-103.631,CENTRAL MEXICO,MEXICO,Definite Tsunami,7.8,15.0,0.5,Moderate (~$1 to $5 million),
1931,11.0,32.2,132.1,SEIKAIDO,JAPAN,Definite Tsunami,7.1,40.0,,,Few (~1 to 50 people)
1931,3.0,41.2,142.5,SANRIKU,JAPAN,Definite Tsunami,7.6,60.0,-1.0,,
1931,2.0,-39.772,176.025,N. NEW ZEALAND,NEW ZEALAND,Definite Tsunami,7.7,35.0,0.0,Extreme (~$25 million or more),Many (~101 to 1000 people)
1929,3.0,50.88,-169.71,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",USA,Definite Tsunami,7.8,50.0,,Limited (<$1 million),
1929,1.0,10.6,-65.6,CUMANA,VENEZUELA,Definite Tsunami,6.9,,,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1928,12.0,-35.0,-72.0,CENTRAL CHILE,CHILE,Probable Tsunami,7.6,25.0,0.5,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1928,6.0,16.028,-97.036,S. MEXICO,MEXICO,Definite Tsunami,7.7,35.0,1.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1928,6.0,12.4,120.9,SULU SEA,PHILIPPINES,Probable Tsunami,7.0,33.0,0.5,Moderate (~$1 to $5 million),
1928,4.0,38.0,23.0,CORINTHOS-PATRAS GULF,GREECE,Probable Tsunami,6.0,29.0,3.0,Extreme (~$25 million or more),Few (~1 to 50 people)
1928,3.0,15.67,-96.1,MEXICO,MEXICO,Definite Tsunami,7.7,60.0,,,
1927,11.0,34.813,-120.774,S. CALIFORNIA,USA,Definite Tsunami,7.3,10.0,1.0,Moderate (~$1 to $5 million),
1927,3.0,35.6,135.1,SW. HONSHU ISLAND,JAPAN,Definite Tsunami,7.6,10.0,0.5,Extreme (~$25 million or more),Very Many (~1001 or more people)
1924,6.0,-56.0,157.5,MACQUARIE ISLAND,AUSTRALIA,Probable Tsunami,7.8,,,,
1923,9.0,34.9,140.2,RYUKYU ISLANDS,JAPAN,Definite Tsunami,7.7,20.0,-1.5,,
1923,2.0,54.0,161.0,KAMCHATKA,RUSSIA,Definite Tsunami,8.3,19.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1953,9.0,-18.3,178.2,FIJI ISLANDS,FIJI,Definite Tsunami,6.4,33.0,1.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1930,8.0,34.03,-118.643,S. CALIFORNIA,USA,Probable Tsunami,5.2,15.0,-0.5,Limited (<$1 million),Few (~1 to 50 people)
1940,8.0,44.2,139.5,W. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,7.5,10.0,1.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1938,5.0,43.6,144.3,E. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,6.1,,,Limited (<$1 million),Few (~1 to 50 people)
1930,12.0,-1.3,144.3,BISMARCK SEA,PAPUA NEW GUINEA,Definite Tsunami,6.5,33.0,1.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1967,4.0,-3.7,119.3,MAKASSAR STRAIT,INDONESIA,Probable Tsunami,5.5,33.0,1.0,Moderate (~$1 to $5 million),Some (~51 to 100 people)
1964,6.0,38.65,139.2,NW. HONSHU ISLAND,JAPAN,Definite Tsunami,7.5,40.0,2.0,Extreme (~$25 million or more),Few (~1 to 50 people)
1958,7.0,58.37,-136.665,"SE. ALASKA, AK",USA,Definite Tsunami,7.8,35.0,5.0,Limited (<$1 million),Few (~1 to 50 people)
1958,1.0,1.5,-79.5,COLOMBIA-ECUADOR,ECUADOR,Definite Tsunami,7.6,60.0,2.0,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1957,3.0,51.292,-175.629,"ANDREANOF ISLANDS, AK",USA,Definite Tsunami,8.6,33.0,3.0,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1956,7.0,36.9,26.0,CYCLADES,GREECE,Definite Tsunami,7.8,20.0,5.0,Severe (~>$5 to $24 million),Some (~51 to 100 people)
1955,4.0,-30.0,-72.0,CENTRAL CHILE,CHILE,Definite Tsunami,7.1,30.0,1.0,Limited (<$1 million),Few (~1 to 50 people)
1952,3.0,42.15,143.85,SE. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,8.1,45.0,2.0,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1950,10.0,-3.8,128.3,BANDA SEA,INDONESIA,Probable Tsunami,7.6,,2.0,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1948,1.0,10.5,122.0,SULU SEA,PHILIPPINES,Probable Tsunami,8.3,33.0,1.5,Moderate (~$1 to $5 million),Some (~51 to 100 people)
1941,11.0,32.0,132.1,SEIKAIDO,JAPAN,Definite Tsunami,7.4,10.0,0.0,Limited (<$1 million),Few (~1 to 50 people)
1939,4.0,-9.295,159.234,SOLOMON ISLANDS,SOLOMON ISLANDS,Probable Tsunami,7.9,35.0,1.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1938,5.0,-1.0,120.0,MAKASSAR STRAIT,INDONESIA,Definite Tsunami,7.6,,,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1932,6.0,19.623,-103.919,CENTRAL MEXICO,MEXICO,Definite Tsunami,8.1,35.0,2.0,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1931,10.0,-10.932,161.016,SAN CRISTOBAL ISLAND,SOLOMON ISLANDS,Definite Tsunami,7.8,35.0,2.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1929,11.0,44.69,-56.0,"GRAND BANKS, NEWFOUNDLAND",CANADA,Definite Tsunami,7.3,20.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1928,12.0,7.0,124.0,CELEBES SEA,PHILIPPINES,Probable Tsunami,7.3,,1.0,Moderate (~$1 to $5 million),Some (~51 to 100 people)
1927,12.0,-0.7,119.7,SULAWESI,INDONESIA,Probable Tsunami,6.3,,3.0,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1923,4.0,56.5,162.5,KAMCHATKA,RUSSIA,Definite Tsunami,7.2,20.0,3.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1968,5.0,40.8,143.2,OFF EAST COAST OF HONSHU ISLAND,JAPAN,Definite Tsunami,8.2,7.0,2.0,Extreme (~$25 million or more),Some (~51 to 100 people)
1965,1.0,-2.4,126.1,SANANA ISLAND,INDONESIA,Definite Tsunami,7.6,6.0,2.0,Moderate (~$1 to $5 million),Some (~51 to 100 people)
1960,11.0,-6.8,-80.7,N. PERU,PERU,Probable Tsunami,6.8,93.0,4.0,Limited (<$1 million),Some (~51 to 100 people)
1946,8.0,19.5,-69.5,NORTHEASTERN COAST,DOMINICAN REPUBLIC,Definite Tsunami,7.5,15.0,,,Some (~51 to 100 people)
1932,6.0,19.242,-104.383,CENTRAL MEXICO,MEXICO,Definite Tsunami,7.7,25.0,1.5,Severe (~>$5 to $24 million),Some (~51 to 100 people)
1922,11.0,-28.553,-70.755,NORTHERN CHILE,CHILE,Definite Tsunami,8.7,35.0,2.5,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1964,3.0,61.017,-147.648,"PRINCE WILLIAM SOUND, AK",USA,Definite Tsunami,9.2,33.0,3.5,Extreme (~$25 million or more),Many (~101 to 1000 people)
1946,4.0,53.492,-162.832,"UNIMAK ISLAND, AK",USA,Definite Tsunami,8.6,15.0,4.0,Extreme (~$25 million or more),Many (~101 to 1000 people)
1923,9.0,35.1,139.5,SAGAMI BAY,JAPAN,Definite Tsunami,7.9,33.0,3.0,Extreme (~$25 million or more),Very Many (~1001 or more people)
1933,3.0,39.224,144.622,SANRIKU,JAPAN,Definite Tsunami,8.4,35.0,3.5,Extreme (~$25 million or more),Very Many (~1001 or more people)
1944,12.0,34.0,137.1,OFF SOUTHEAST COAST KII PENINSULA,JAPAN,Definite Tsunami,8.1,30.0,2.5,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
1945,11.0,24.5,63.0,MAKRAN COAST,PAKISTAN,Definite Tsunami,8.0,,,Extreme (~$25 million or more),Very Many (~1001 or more people)
1946,8.0,19.25,-69.0,NORTHEASTERN COAST,DOMINICAN REPUBLIC,Definite Tsunami,7.9,15.0,,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
1946,12.0,33.0,135.6,HONSHU: S COAST,JAPAN,Definite Tsunami,8.1,20.0,2.5,Extreme (~$25 million or more),Very Many (~1001 or more people)
1952,11.0,52.755,160.057,KAMCHATKA,RUSSIA,Definite Tsunami,9.0,22.0,4.0,Moderate (~$1 to $5 million),Very Many (~1001 or more people)
1960,5.0,-38.143,-73.407,SOUTHERN CHILE,CHILE,Definite Tsunami,9.5,33.0,4.0,Extreme (~$25 million or more),Very Many (~1001 or more people)
1990,12.0,23.722,121.627,TAIWAN,TAIWAN,Definite Tsunami,6.3,10.0,,Limited (<$1 million),
1971,9.0,46.4,141.1,TATAR STRAIT,RUSSIA,Definite Tsunami,6.0,21.0,-4.0,,
2002,3.0,23.346,124.09,JAPAN,JAPAN,Probable Tsunami,6.4,33.0,,,
1997,10.0,-22.1,-176.77,TONGA ISLANDS,TONGA,Definite Tsunami,7.7,167.0,,,
1987,7.0,-14.074,167.828,VANUATU ISLANDS,VANUATU,Probable Tsunami,6.7,48.0,,,
1984,2.0,38.396,22.094,"CORINTHOS GULF, GREECE",GREECE,Definite Tsunami,5.4,29.0,3.0,,
1977,4.0,-9.828,163.323,SOLOMON ISLANDS,SOLOMON ISLANDS,Definite Tsunami,6.8,33.0,-1.0,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1984,6.0,31.448,140.036,"TORI SHIMA, OKINAWA",JAPAN,Definite Tsunami,5.5,41.0,,,
1987,2.0,36.988,141.689,E. HONSHU ISLAND,JAPAN,Definite Tsunami,6.7,48.0,,,
1989,11.0,18.986,-68.833,PUERTO RICO,USA TERRITORY,Probable Tsunami,4.4,26.0,,,
2001,12.0,23.954,122.734,TAIWAN,TAIWAN,Definite Tsunami,6.8,14.0,,,
2004,1.0,-3.12,127.4,SERAM ISLAND,INDONESIA,Definite Tsunami,6.7,17.0,,,
2003,10.0,37.812,142.619,E. HONSHU ISLAND,JAPAN,Definite Tsunami,7.0,10.0,,,
1996,10.0,31.885,131.468,KYUSHU ISLAND,JAPAN,Definite Tsunami,6.7,22.0,0.5,Limited (<$1 million),
1995,11.0,-28.906,-71.417,NORTHERN CHILE,CHILE,Definite Tsunami,6.7,20.0,-3.0,,
1994,10.0,43.905,147.916,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.3,33.0,-3.0,,
1994,4.0,40.608,143.683,HOKKAIDO ISLAND,JAPAN,Definite Tsunami,6.4,13.0,-1.5,,
1990,9.0,33.267,138.643,"W. OF BONIN ISLANDS, IZU IS., JAPAN",JAPAN,Definite Tsunami,6.5,10.0,,,
1982,7.0,36.194,141.702,"IBARAKI, JAPAN",JAPAN,Definite Tsunami,7.2,37.0,-1.0,,
1979,2.0,40.232,143.703,"IWATE, JAPAN",JAPAN,Definite Tsunami,6.4,10.0,,,
1978,3.0,44.026,149.002,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,6.7,33.0,-2.5,,
1974,2.0,-7.4,155.6,SOLOMON ISLANDS,SOLOMON ISLANDS,Definite Tsunami,7.1,40.0,2.0,Moderate (~$1 to $5 million),
1969,8.0,-6.6,146.9,BISMARCK SEA,PAPUA NEW GUINEA,Definite Tsunami,5.4,17.0,-1.0,,
1970,12.0,43.84,39.34,BLACK SEA,RUSSIA,Definite Tsunami,5.1,7.0,2.0,,
1983,8.0,55.867,161.287,"KAMCHATKA BAY, RUSSIA",RUSSIA,Definite Tsunami,7.1,63.0,,,
1971,9.0,46.3,140.9,TATAR STRAIT,RUSSIA,Definite Tsunami,6.2,16.0,-3.0,,
1939,12.0,39.77,39.533,SOUTH BLACK SEA,TURKEY,Definite Tsunami,7.7,35.0,4.0,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
1927,6.0,44.4,34.4,"CRIMEA, BLACK SEA",UKRAINE,Definite Tsunami,6.0,27.0,2.0,Moderate (~$1 to $5 million),
1905,10.0,44.5,37.5,BLACK SEA,RUSSIA,Definite Tsunami,5.1,,2.0,,
1998,5.0,22.306,125.308,TAIWAN:  SOUTHEAST OF,TAIWAN,Definite Tsunami,7.5,33.0,,,
1996,12.0,31.789,131.314,SEA OF JAPAN,JAPAN,Definite Tsunami,6.7,49.0,-2.0,,
1996,9.0,-22.118,-113.436,EASTER ISLAND REGION,CHILE,Definite Tsunami,6.9,10.0,-2.5,,
1996,9.0,31.555,139.931,HONSHU ISLAND,JAPAN,Definite Tsunami,5.7,33.0,-2.0,,
1996,6.0,51.478,-176.847,"ANDREANOF ISLANDS, AK",USA,Definite Tsunami,7.3,24.0,-1.5,,
1996,2.0,15.978,-98.07,MEXICO,MEXICO,Definite Tsunami,7.1,21.0,-3.0,,
1995,10.0,28.094,130.148,RYUKYU ISLANDS,JAPAN,Definite Tsunami,6.8,20.0,0.5,,
1995,10.0,27.929,130.175,RYUKYU ISLANDS,JAPAN,Definite Tsunami,7.1,28.0,1.5,Limited (<$1 million),
1995,4.0,12.047,125.92,SAMAR ISLAND,PHILIPPINES,Definite Tsunami,6.8,23.0,-2.0,,
1995,4.0,12.059,125.58,SAMAR ISLAND,PHILIPPINES,Definite Tsunami,7.2,21.0,-2.0,,
1994,9.0,40.402,-125.68,N. CALIFORNIA,USA,Definite Tsunami,7.0,10.0,-3.0,Limited (<$1 million),
1993,11.0,51.934,158.647,KAMCHATKA,RUSSIA,Definite Tsunami,7.0,34.0,-3.0,,
1993,8.0,41.985,139.839,JAPAN,JAPAN,Definite Tsunami,6.3,13.0,,,
1992,7.0,39.419,143.33,HONSHU ISLAND,JAPAN,Definite Tsunami,7.0,29.0,-0.5,,
1992,1.0,18.0,108.0,SOUTH CHINA SEA,CHINA,Definite Tsunami,3.7,,,Limited (<$1 million),
1991,10.0,-9.094,158.442,SOLOMON ISLANDS,SOLOMON ISLANDS,Definite Tsunami,7.2,23.0,-2.5,,
1991,2.0,58.427,-175.45,"BERING SEA, AK",USA,Definite Tsunami,6.7,20.0,,,
1991,2.0,48.268,154.328,N. KURIL ISLANDS,RUSSIA,Definite Tsunami,5.7,39.0,,,
1991,2.0,-9.929,159.139,SOLOMON ISLANDS,SOLOMON ISLANDS,Definite Tsunami,6.9,10.0,,Limited (<$1 million),
1990,2.0,34.706,139.252,JAPAN,JAPAN,Definite Tsunami,6.4,14.0,,,
1989,10.0,39.571,143.333,N. HONSHU ISLAND,JAPAN,Definite Tsunami,6.5,10.0,,,
1989,9.0,55.543,-156.835,"SEMIDI ISLANDS, AK",USA,Definite Tsunami,7.1,11.0,,,
1988,6.0,18.606,121.013,NORTH OF LUZON ISLAND,PHILIPPINES,Definite Tsunami,5.4,53.0,,,
1988,2.0,-24.753,-70.433,NORTHERN CHILE,CHILE,Definite Tsunami,7.2,37.0,,,
1987,11.0,58.586,-143.27,"GULF OF ALASKA, AK",USA,Definite Tsunami,7.2,10.0,,,
1987,10.0,-7.288,154.371,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,7.0,25.0,,,
1987,10.0,-17.94,-172.225,TONGA ISLANDS,TONGA,Definite Tsunami,7.3,16.0,,,
1987,3.0,37.447,137.865,HONSHU ISLAND,JAPAN,Definite Tsunami,5.1,23.0,,,
1984,9.0,34.006,141.5,HONSHU ISLAND,JAPAN,Definite Tsunami,6.9,48.0,,,
1984,3.0,44.117,148.192,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.2,44.0,-2.0,,
1983,6.0,41.346,139.099,N. HONSHU ISLAND,JAPAN,Definite Tsunami,6.9,10.0,,Limited (<$1 million),
1983,6.0,40.249,138.948,"NOSHIRO, JAPAN",JAPAN,Definite Tsunami,5.9,26.0,,,
1983,3.0,-4.056,127.924,BANDA SEA,INDONESIA,Definite Tsunami,6.9,17.0,1.5,,
1982,12.0,33.826,139.434,S. OF HONSHU ISLAND,JAPAN,Definite Tsunami,6.4,22.0,-1.0,,
1981,1.0,38.64,142.75,E. HONSHU ISLAND,JAPAN,Definite Tsunami,6.9,,,,
1980,2.0,43.53,146.753,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.0,44.0,-2.0,,
1979,2.0,60.691,-141.671,"SE. ALASKA, AK",USA,Definite Tsunami,7.5,15.0,,Limited (<$1 million),
1978,7.0,22.282,121.512,TAIWAN,TAIWAN,Probable Tsunami,7.4,17.0,-1.0,,
1978,6.0,8.249,122.403,"MINDANAO ISLAND, PHILIPPINES",PHILIPPINES,Probable Tsunami,6.9,24.0,,,
1976,1.0,44.915,149.123,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.0,41.0,-2.5,,
1975,6.0,43.024,147.734,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.0,15.0,2.0,Moderate (~$1 to $5 million),
1974,9.0,43.2,146.7,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,6.7,43.0,-1.0,,
1974,1.0,-7.5,155.9,SOLOMON ISLANDS,SOLOMON ISLANDS,Definite Tsunami,7.0,34.0,1.0,,
1972,8.0,-6.0,152.9,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,7.1,10.0,,,
1971,9.0,46.4,141.1,TATAR STRAIT,RUSSIA,Definite Tsunami,6.6,6.0,-3.0,,
1971,9.0,46.7,141.4,TATAR STRAIT,RUSSIA,Definite Tsunami,5.5,29.0,,,
1971,8.0,41.4,143.5,JAPAN TRENCH,JAPAN,Definite Tsunami,7.3,51.0,-0.5,Limited (<$1 million),
1971,5.0,51.228,-177.173,"ANDREANOF ISLANDS, AK",USA,Definite Tsunami,7.1,30.0,-3.0,,
1970,7.0,32.2,131.7,SEIKAIDO,JAPAN,Definite Tsunami,7.0,34.0,,Limited (<$1 million),
1969,4.0,32.2,132.1,RYUKYU ISLANDS,JAPAN,Definite Tsunami,6.5,41.0,-3.0,,
1996,10.0,30.568,131.093,KYUSHU ISLAND,JAPAN,Definite Tsunami,6.6,10.0,-2.5,,
1992,5.0,-11.122,165.239,SANTA CRUZ ISLANDS,SOLOMON ISLANDS,Definite Tsunami,7.1,19.0,,,
1984,12.0,56.194,163.46,KAMCHATKA,RUSSIA,Definite Tsunami,6.8,33.0,,,
2004,9.0,33.184,137.071,SOUTH COAST HONSHU ISLAND,JAPAN,Definite Tsunami,7.4,10.0,,Limited (<$1 million),
2004,9.0,33.07,136.618,SOUTH COAST HONSHU ISLAND,JAPAN,Definite Tsunami,7.2,14.0,,Limited (<$1 million),
2003,11.0,51.146,178.65,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",USA,Definite Tsunami,7.8,33.0,,Limited (<$1 million),
2003,5.0,36.964,3.634,N. ALGERIA,ALGERIA,Definite Tsunami,6.8,12.0,1.5,Extreme (~$25 million or more),Very Many (~1001 or more people)
2003,1.0,18.77,-104.104,S. MEXICO,MEXICO,Definite Tsunami,7.5,24.0,0.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
2003,1.0,-10.491,160.77,SOLOMON ISLANDS,SOLOMON ISLANDS,Definite Tsunami,7.3,33.0,,,
2002,9.0,13.036,93.068,"ANDAMAN ISLANDS, INDIA",INDIA,Definite Tsunami,6.5,21.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
2002,9.0,-3.26,142.94,BISMARCK SEA,PAPUA NEW GUINEA,Definite Tsunami,7.6,13.0,1.08,Severe (~>$5 to $24 million),Few (~1 to 50 people)
2002,3.0,24.279,122.179,TAIWAN,TAIWAN,Definite Tsunami,7.1,33.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
2002,3.0,6.033,124.249,"MINDANAO ISLAND, PHILIPPINES",PHILIPPINES,Definite Tsunami,7.5,31.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
2002,1.0,-17.6,167.856,VANUATU ISLANDS,VANUATU,Definite Tsunami,7.2,21.0,-4.14,Limited (<$1 million),
2000,11.0,-4.001,152.327,BISMARCK SEA,PAPUA NEW GUINEA,Definite Tsunami,8.0,17.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
2000,7.0,34.221,139.131,"KOZU-SHIMA ISLAND, HONSHU",JAPAN,Definite Tsunami,6.1,10.0,,Limited (<$1 million),Few (~1 to 50 people)
2000,6.0,-13.802,97.453,SOUTH INDIAN OCEAN,AUSTRALIA,Definite Tsunami,7.9,10.0,,,
2000,5.0,-1.105,123.573,SULAWESI,INDONESIA,Definite Tsunami,7.6,26.0,,Extreme (~$25 million or more),Few (~1 to 50 people)
1997,12.0,54.841,162.035,KAMCHATKA,RUSSIA,Definite Tsunami,7.8,33.0,0.5,,
1997,7.0,10.598,-63.486,CARIACO-CUMANA,VENEZUELA,Probable Tsunami,7.0,20.0,,Extreme (~$25 million or more),Some (~51 to 100 people)
1997,4.0,-12.584,166.676,SANTA CRUZ IS. VANUATU,SOLOMON ISLANDS,Definite Tsunami,7.7,33.0,-2.0,Limited (<$1 million),
1996,11.0,-14.993,-75.675,S. PERU,PERU,Definite Tsunami,7.7,33.0,-1.0,Extreme (~$25 million or more),Few (~1 to 50 people)
1996,6.0,51.564,-177.632,"ANDREANOF ISLANDS, AK",USA,Definite Tsunami,7.9,33.0,0.5,,
1995,12.0,44.663,149.3,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,7.9,33.0,0.5,,
1995,11.0,28.826,34.799,GULF OF ELAT-AQABA,EGYPT,Definite Tsunami,7.2,10.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1995,9.0,16.779,-98.597,S. MEXICO,MEXICO,Probable Tsunami,7.4,23.0,-1.0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1995,8.0,-5.799,154.178,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,7.7,30.0,-1.5,Limited (<$1 million),
1995,7.0,-23.34,-70.294,NORTHERN CHILE,CHILE,Definite Tsunami,8.0,46.0,1.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1995,6.0,38.401,22.283,GULF OF CORINTH: AIYION,GREECE,Definite Tsunami,6.5,14.0,3.0,Extreme (~$25 million or more),Few (~1 to 50 people)
1995,5.0,52.629,142.827,SAKHALIN ISLAND,RUSSIA,Definite Tsunami,7.1,11.0,-2.0,Extreme (~$25 million or more),Very Many (~1001 or more people)
1995,5.0,-23.008,169.9,LOYALTY ISLANDS,NEW CALEDONIA,Definite Tsunami,7.7,20.0,-2.0,,
1995,4.0,-15.199,-173.529,SAMOA ISLANDS,SAMOA,Definite Tsunami,7.4,21.0,-1.5,,
1995,1.0,34.583,135.018,"KOBE, JAPAN",JAPAN,Definite Tsunami,6.9,22.0,-2.0,Extreme (~$25 million or more),Very Many (~1001 or more people)
1994,12.0,40.525,143.419,"TOHUKU, JAPAN",JAPAN,Definite Tsunami,7.8,27.0,,Extreme (~$25 million or more),Few (~1 to 50 people)
1994,10.0,43.773,147.321,S. KURIL ISLANDS,RUSSIA,Definite Tsunami,8.3,14.0,2.6,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1994,1.0,1.015,127.733,HALMAHERA,INDONESIA,Definite Tsunami,7.0,20.0,1.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1994,1.0,34.213,-118.537,"WEST COAST, USA",USA,Probable Tsunami,6.7,18.0,-3.0,Extreme (~$25 million or more),Some (~51 to 100 people)
1993,8.0,12.982,144.801,"GUAM, MARIANA ISLANDS",USA TERRITORY,Definite Tsunami,7.8,59.0,,Extreme (~$25 million or more),
1993,6.0,51.218,157.829,KAMCHATKA,RUSSIA,Definite Tsunami,7.5,71.0,-0.5,,
1993,2.0,37.634,137.245,HONSHU ISLAND,JAPAN,Definite Tsunami,6.3,11.0,-0.5,,
1992,5.0,7.191,126.762,PHILIPPINES,PHILIPPINES,Definite Tsunami,7.3,33.0,,Limited (<$1 million),
1992,4.0,40.368,-124.316,"CAPE MENDOCINO, N. CALIFORNIA",USA,Definite Tsunami,7.2,15.0,0.5,Extreme (~$25 million or more),
1990,12.0,37.3,15.438,EASTERN SICILY,ITALY,Definite Tsunami,5.3,11.0,,Extreme (~$25 million or more),Few (~1 to 50 people)
1990,4.0,15.125,147.596,"MARIANA TRENCH, N. MARIANA ISLANDS",USA TERRITORY,Definite Tsunami,7.5,11.0,,,
1990,3.0,9.919,-84.808,COSTA RICA,COSTA RICA,Definite Tsunami,7.0,22.0,,Moderate (~$1 to $5 million),
1989,11.0,39.837,142.76,JAPAN,JAPAN,Probable Tsunami,7.4,29.0,,,
1989,10.0,37.036,-121.883,N. CALIFORNIA,USA,Definite Tsunami,6.9,19.0,,Extreme (~$25 million or more),Some (~51 to 100 people)
1989,6.0,19.362,-155.083,HAWAII,USA,Definite Tsunami,6.5,9.0,,,
1989,5.0,-52.341,160.568,MACQUARIE ISLAND,AUSTRALIA,Definite Tsunami,8.1,10.0,,,
1988,7.0,-5.964,148.78,PAPUA NEW GUINEA,PAPUA NEW GUINEA,Definite Tsunami,6.8,53.0,,,
1988,3.0,57.262,-142.747,"GULF OF ALASKA, AK",USA,Definite Tsunami,7.8,15.0,,Limited (<$1 million),
1987,11.0,58.679,-142.786,"GULF OF ALASKA, AK",USA,Definite Tsunami,7.9,10.0,,Limited (<$1 million),
1987,10.0,-6.266,149.06,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,7.4,48.0,,Moderate (~$1 to $5 million),
1987,3.0,32.034,131.837,KYUSHU ISLAND,JAPAN,Definite Tsunami,6.7,54.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1987,3.0,-24.388,-70.161,NORTHERN CHILE,CHILE,Definite Tsunami,7.6,62.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1987,2.0,-6.088,147.689,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,7.4,55.0,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1986,10.0,-28.117,-176.367,KERMADEC ISLANDS,NEW ZEALAND,Definite Tsunami,7.8,29.0,,,
1986,5.0,51.52,-174.776,"ANDREANOF ISLANDS, AK",USA,Definite Tsunami,8.0,31.0,,Moderate (~$1 to $5 million),
1985,9.0,17.802,-101.647,MEXICO,MEXICO,Definite Tsunami,7.6,31.0,,,
1985,9.0,18.19,-102.533,MEXICO,MEXICO,Definite Tsunami,8.0,28.0,,Extreme (~$25 million or more),Very Many (~1001 or more people)
1985,7.0,-4.439,152.828,NEW IRELAND,PAPUA NEW GUINEA,Definite Tsunami,7.3,46.0,,Moderate (~$1 to $5 million),
1985,3.0,17.013,-62.448,GUADELOUPE,GUADELOUPE (FRENCH TERRITORY),Definite Tsunami,6.4,13.0,,Moderate (~$1 to $5 million),
1985,3.0,-33.132,-71.708,CENTRAL CHILE,CHILE,Definite Tsunami,8.0,33.0,,Extreme (~$25 million or more),Many (~101 to 1000 people)
1984,8.0,32.386,131.945,"KYUSHU, JAPAN",JAPAN,Definite Tsunami,7.0,46.0,,,
1983,11.0,-6.852,72.11,CHAGOS ARCHIPELAGO REGION,UK TERRITORY,Definite Tsunami,7.7,10.0,,Limited (<$1 million),
